Date,Close
7/28/2015,28.33
7/29/2015,28.75
7/30/2015,28.37
7/31/2015,28.12
8/3/2015,28.33
8/4/2015,28.41
8/5/2015,28.56
8/6/2015,28.16
8/7/2015,28.55
8/10/2015,28.66
8/11/2015,28.14
8/12/2015,28.01
8/13/2015,27.99
8/14/2015,28.26
8/17/2015,28.29
8/18/2015,27.77
8/19/2015,27.43
8/20/2015,26.52
8/21/2015,25.77
8/24/2015,24.93
8/25/2015,25.23
8/26/2015,26.17
8/27/2015,27.1
8/28/2015,27.25
8/31/2015,27.11
9/1/2015,26.48
9/2/2015,26.87
9/3/2015,27.04
9/4/2015,26.48
9/8/2015,26.36
9/9/2015,26.2
9/10/2015,26.15
9/11/2015,26.32
9/14/2015,25.75
9/15/2015,25.98
9/16/2015,26.74
9/17/2015,26.27
9/18/2015,26.02
9/21/2015,25.92
9/22/2015,25.61
9/23/2015,25.59
9/24/2015,25.61
9/25/2015,25.33
9/28/2015,24.14
9/29/2015,24.08
9/30/2015,24.44
10/1/2015,24.91
10/2/2015,25.53
10/5/2015,25.74
10/6/2015,25.68
10/7/2015,25.68
10/8/2015,24.15
10/9/2015,24.3
10/12/2015,24.56
10/13/2015,24.62
10/14/2015,24
10/15/2015,24.51
10/16/2015,24.55
10/19/2015,24.56
10/20/2015,24.42
10/21/2015,24.21
10/22/2015,27.58
10/23/2015,28.16
10/26/2015,28.17
10/27/2015,28.37
10/28/2015,28.25
10/29/2015,28.18
10/30/2015,27.9
11/2/2015,28.5
11/3/2015,28.9
11/4/2015,29.3
11/5/2015,29.3
11/6/2015,29.4
11/9/2015,29.18
11/10/2015,29.14
11/11/2015,28.95
11/12/2015,28.56
11/13/2015,28.19
11/16/2015,28.48
11/17/2015,28.45
11/18/2015,28.75
11/19/2015,28.77
11/20/2015,29.06
11/23/2015,28.84
11/24/2015,29
11/25/2015,29
11/27/2015,29.1
11/30/2015,29.59
12/1/2015,29.05
12/2/2015,28.97
12/3/2015,28.59
12/4/2015,29.35
12/7/2015,29.05
12/8/2015,28.79
12/9/2015,28.34
12/10/2015,28.57
12/11/2015,27.97
12/14/2015,28.04
12/15/2015,28.31
12/16/2015,28.57
12/17/2015,28.05
12/18/2015,27.46
12/21/2015,27.59
12/22/2015,27.89
12/23/2015,27.78
12/24/2015,27.66
12/28/2015,27.64
12/29/2015,27.91
12/30/2015,27.75
12/31/2015,27.48
1/4/2016,26.43
1/5/2016,26.12
1/6/2016,26.41
1/7/2016,25.69
1/8/2016,25.75
1/11/2016,26.1
1/12/2016,26.21
1/13/2016,25.41
1/14/2016,25.86
1/15/2016,25.26
1/19/2016,25.77
1/20/2016,25.82
1/21/2016,26.09
1/22/2016,26.43
1/25/2016,26.14
1/26/2016,26.65
1/27/2016,26.42
1/28/2016,23.13
1/29/2016,23.46
2/1/2016,23.94
2/2/2016,23.29
2/3/2016,23.5
2/4/2016,23.49
2/5/2016,23.2
2/8/2016,22.48
2/9/2016,22.01
2/10/2016,22.32
2/11/2016,22.08
2/12/2016,22.49
2/16/2016,22.95
2/17/2016,23.22
2/18/2016,23.53
2/19/2016,23.81
2/22/2016,24.24
2/23/2016,23.62
2/24/2016,23.96
2/25/2016,24.18
2/26/2016,24.18
2/29/2016,23.8
3/1/2016,24.25
3/2/2016,23.72
3/3/2016,23.94
3/4/2016,24.41
3/7/2016,24.26
3/8/2016,24.07
3/9/2016,23.95
3/10/2016,23.69
3/11/2016,24.02
3/14/2016,24.28
3/15/2016,23.58
3/16/2016,23.68
3/17/2016,23.76
3/18/2016,23.77
3/21/2016,24.34
3/22/2016,24.13
3/23/2016,24.17
3/24/2016,24.33
3/28/2016,24.12
3/29/2016,24.1
3/30/2016,24.04
3/31/2016,23.86
4/1/2016,23.88
4/4/2016,24.03
4/5/2016,24.39
4/6/2016,25.43
4/7/2016,24.1
4/8/2016,24.07
4/11/2016,24.06
4/12/2016,24.42
4/13/2016,25.08
4/14/2016,25.21
4/15/2016,25.22
4/18/2016,25.31
4/19/2016,24.3
4/20/2016,24.66
4/21/2016,24.69
4/22/2016,24.4
4/25/2016,24.22
4/26/2016,24.49
4/27/2016,25.27
4/28/2016,24.62
4/29/2016,24.43
5/2/2016,24.26
5/3/2016,23.98
5/4/2016,23.8
5/5/2016,23.81
5/6/2016,23.82
5/9/2016,24.02
5/10/2016,24.16
5/11/2016,23.74
5/12/2016,23.58
5/13/2016,23.78
5/16/2016,23.8
5/17/2016,23.27
5/18/2016,23.69
5/19/2016,23.42
5/20/2016,23.65
5/23/2016,23.46
5/24/2016,24.05
5/25/2016,24.04
5/26/2016,24.12
5/27/2016,24.36
5/31/2016,24.46
6/1/2016,24.07
6/2/2016,24.25
6/3/2016,23.98
6/6/2016,23.99
6/7/2016,24.28
6/8/2016,24.23
6/9/2016,24.33
6/10/2016,24.07
6/13/2016,23.89
6/14/2016,23.88
6/15/2016,23.96
6/16/2016,23.85
6/17/2016,23.79
6/20/2016,24.57
6/21/2016,24.7
6/22/2016,24.34
6/23/2016,24.85
6/24/2016,23.13
6/27/2016,22.72
6/28/2016,22.99
6/29/2016,23.31
6/30/2016,23.41
7/1/2016,23.78
7/5/2016,23.76
7/6/2016,23.83
7/7/2016,23.93
7/8/2016,24.61
7/11/2016,24.86
7/12/2016,25.13
7/13/2016,25.12
7/14/2016,26.08
7/15/2016,26.34
7/18/2016,26.49
7/19/2016,26.5
7/20/2016,26.99
7/21/2016,29.93
7/22/2016,30.49
7/25/2016,30.68
7/26/2016,31.4
7/27/2016,31.31
7/28/2016,31.17
7/29/2016,31.16
8/1/2016,31.25
8/2/2016,30.79
8/3/2016,30.95
8/4/2016,31.06
8/5/2016,31.39
8/8/2016,31.15
8/9/2016,31.11
8/10/2016,31.12
8/11/2016,31.2
8/12/2016,30.89
8/15/2016,31.05
8/16/2016,30.83
8/17/2016,30.61
8/18/2016,30.52
8/19/2016,30.63
8/22/2016,30.62
8/23/2016,30.67
8/24/2016,31.25
8/25/2016,31.34
8/26/2016,31.31
8/29/2016,31.4
8/30/2016,31.77
8/31/2016,32.16
9/1/2016,32.13
9/2/2016,32.28
9/6/2016,32.41
9/7/2016,32.51
9/8/2016,32.7
9/9/2016,31.89
9/12/2016,32.49
9/13/2016,31.91
9/14/2016,31.8
9/15/2016,31.98
9/16/2016,31.77
9/19/2016,31.57
9/20/2016,31.36
9/21/2016,31.97
9/22/2016,32.28
9/23/2016,32.07
9/26/2016,31.67
9/27/2016,31.94
9/28/2016,31.85
9/29/2016,32.3
9/30/2016,32.9
10/3/2016,32.55
10/4/2016,32.56
10/5/2016,32.15
10/6/2016,32.13
10/7/2016,31.62
10/10/2016,31.95
10/11/2016,31.46
10/12/2016,31.5
10/13/2016,31.51
10/14/2016,31.89
10/17/2016,31.81
10/18/2016,31.64
10/19/2016,32.52
